Site,Viewership
http://cnn.com,112
http://nytimes.com,95
http://yahoo.com,93,
http://washingtonpost.com,92
http://www.foxnews.com,78
http://www.buzzfeed.com,74
http://usatoday.com,60
http://www.businessinsider.com,56
http://www.forbes.com,55
http://www.time.com,48
http://www.cnbc.com,47
http://www.huffingtonpost.com,47
http://www.nbcnews.com,47
http://www.cbsnews.com,42
http://www.guardiannews.com,35
http://www.latimes.com,32
http://wsj.com,25
http://theatlantic.com,22
http://www.reuters.com,21
http://www.politico.com,20
http://www.slate.com,19
http://drudgereport.com,2
http://www.nydailynews.com,2
